Nom,Popularitat,Artista,Artistes,Data,uri
Tant de Bo,48,Suu,Suu,2020-01-10,4IATwgahz94G3bIYX7o4TU
Sereno,48,Zoo,"ZOO, SFDK",2021-03-26,749H5Zv3UejDRqMtE1UEAp
SECR3T,48,Julieta,"Julieta, Figa Flawas",2022-11-07,3Rch2FyIqqoyNKfFO7mB83
El Tonteo,48,Mushkaa,"The Tyets, Mushkaa",2023-03-03,65i39CwDMx05aGt3Wnl0eI
Judit,48,Joan Dausà,Joan Dausà,2023-04-28,0d7NF6IXjKcidQZpOUG9MP
No m'estima +,48,Mushkaa,"Mushkaa, Julieta, roots",2023-08-11,78NzYFBsYY78qeazgKZCoc
1 CUMBIA AMB EL GUILLEM (1vs1),48,Mushkaa,"Mushkaa, Guillem Gisbert, roots, akaluigi, Bexnil",2025-02-28,51BvyHeefQi1yPGRx181A6
NO SÉ BALLAR,48,La Fúmiga,"NAINA, La Fúmiga",2025-03-05,1uRFnG0HnxLcw2tZPMvZP6
TOSSUDA PT. 2,48,31 FAM,31 FAM,2025-04-25,5VFQ2WarGuzkdg5TLST6tW
Cant del Barça,47,Coral Sant Jordi,Coral Sant Jordi,1975-01-01,5PUhoKzexhH3AkuToQd5IV
El cul del món,47,The Tyets,The Tyets,2005-02-05,2OsBaXLtgKSzL0KNRqrSLG
Cul i Merda,47,The Tyets,The Tyets,2005-02-05,6MCLjGvI7Mo2gXpagEZarZ
Èpic Solete,47,The Tyets,"The Tyets, Figa Flawas",2005-02-05,0WkgubhQqDmVDat3seOuQB
COM ESTÀ EL PATI,47,Oques Grasses,Oques Grasses,2005-02-05,7GH39crzuxGnYBNS5YmpVm
Talismà,47,Oques Grasses,Oques Grasses,2005-02-05,4EbnByg9l8NEqBqEkA3Ur1
Cul,47,Oques Grasses,Oques Grasses,2005-02-05,5Jk9ijZSVa8Z2Xr07hpuBR
Fotosíntesi,47,La Fúmiga,"La Fúmiga, ZOO",2005-02-05,4CsYWyFMl5C0uV5MNUecyF
Llavors,47,La Fúmiga,"La Fúmiga, Jonatan Penalba",2005-02-05,3Q1wQqrkhwhGLFjcAbVQvn
Captatio benevolentiae,47,Manel,Manel,2008-11-11,5JUXJ7nzuLjMVBhm1RRgAU
Alegria,47,Antònia Font,Antònia Font,2008-11-17,1ia819gHWbLBBYHqK76Yg8
Boomerang,47,Manel,Manel,2011-03-15,0XvMkmumjGH3SamZpwt8H5
Amagada Primavera,47,Txarango,Txarango,2012-05-11,3xWjpBGU69S1D6QMvh1L8k
Ja No Ens Passa,47,Els Amics de les Arts,Els Amics De Les Arts,2014-03-01,5eSa3b9VY7VkBpB5Aldg5o
Vull,47,Zoo,ZOO,2014-11-10,1N5W9POZOgCS6tph9vH631
Els Pirates,47,El Pot Petit,El Pot Petit,2015-01-01,31m3aLMiZUYhxwRg1gcAHT
Somriurem,47,Txarango,Txarango,2017-03-26,3wqOUv28bzBM01kFIyDj9d
Transmets Energia,47,Buhos,Buhos,2018-02-16,0KgMBD1JpkaZyBYpKeE0L9
Fins que arribi l'alba,47,Els Catarres,Els Catarres,2018-03-16,1Ff2oaQ994SROK43TwZgVv
Sóc un Mico,47,El Pot Petit,El Pot Petit,2018-05-04,6nOsGAyyBfVqklWUU9CYRr
La vida és molt avorrida sense el teu cos,47,Els Pets,Els Pets,2018-10-19,6RXC23Zrd4jEFjtXL1ZsZp
Les Coses Senzilles,47,Txarango,Txarango,2020-06-19,0BnwoPXM88SdUwj5WwKvxc
Llepolies,47,Zoo,"ZOO, Marala, TAKTEL",2021-03-26,0alA7Ni7sgEh5cn11YKPiQ
Bona Vida,47,Mushkaa,"Flashy Ice Cream, 31 FAM, Mushkaa",2022-07-15,60NiTRZhf2nhmgghPRbNET
Clar que t’he trobat a faltar,47,Julieta,"The Tyets, Julieta",2023-03-03,3GboiOxbJD3Y0uKmfjF4Ip
De tot el món,47,Ginestà,Ginestà,2024-02-09,2uJHtzFDUljl4zffwSiUu3
Un piset amb tu,47,Ginestà,"Ginestà, Niña Polaca",2024-02-09,2F2wKfKXKTLihpHgP2Uevw
Lo Lo Barça!,47,FC Barcelona,"FC Barcelona, Grup d'Aficionats del Barça",2024-02-12,516xTudqKphZkP4F8fHSou
Extraordinàriament normal,47,Doctor Prats,"Doctor Prats, La Fúmiga",2025-03-28,15zP4RrHdgk2cDjsgCoWD9
MAMA HO SENTO,47,31 FAM,31 FAM,2025-04-25,0D1Eevs6Qgdw6TED1aOvGx
Millor amb ell,47,La Ludwig Band,La Ludwig Band,2025-05-21,6xHpkXcQ4hvWdtl2qs4Unk
Que tinguem sort,46,Lluís Llach,Lluis Llach,1974-01-01,6Ss2hzEaDrOTh9CBuWNUrp
Bon Dia,46,Els Pets,Els Pets,1997-01-01,3twYwf9MIPgQUgynBhrX0I
Viure Sense Tu,46,Antònia Font,Antònia Font,2002-01-01,6t18lS4oVhqSgPTBAB1QES
El Maresme,46,The Tyets,The Tyets,2005-02-05,4YGzTWu8gvInMdFqAJohEa
Summercat,46,The Tyets,"The Tyets, Pau Romero",2005-02-05,2yH21rU17MPzRozePFNSJn
BAMBI,46,Oques Grasses,Oques Grasses,2005-02-05,5rpFMC1gxCXJpV24QzDRCi
KOALES,46,La Fúmiga,La Fúmiga,2005-02-05,4IrUj03q2ouHvqXVdLEuiX
QUE TIA!,46,La Fúmiga,"La Fúmiga, NAINA",2005-02-05,0rUJLLIJTJap4vOptloi4S
Comèdia Dramàtica,46,La Fúmiga,La Fúmiga,2005-02-05,19BWT9p7BBqOKJFR1Sllyq
Cançó Que Mai S'acaba,46,La Fúmiga,La Fúmiga,2005-02-05,06vX7tHvaUXenCTLVLsgZx
La Ferida,46,La Fúmiga,"La Fúmiga, ZOO",2005-02-05,0Mv5YvIemCXJJTgbgllH28
Tokyo,46,Els Catarres,Els Catarres,2005-02-05,0pktk1OOeJBEbWrqKB2cEs
Aniversari,46,Manel,Manel,2011-03-15,3rn7vtyiRGTexwbkYfnEn9
Esbarzers - Remix,46,Zoo,"ZOO, La Gossa Sorda",2015-09-23,32Kl5tnLmxPt40LqyuPuXV
Tanca els ulls,46,Txarango,Txarango,2018-10-14,28yjAtp15cBAm1bE5ewzU3
Valentina,46,31 FAM,31 FAM,2019-04-12,5bs5tYbTt8XkRKZkc2TDXd
La Petita Rambla del Poble Sec - XL,46,Cesk Freixas,"Cesk Freixas, Txarango",2020-01-31,2b8eZFIfoV68lYrVQrOzp2
Aviam què passa - Estrella Damm 2021,46,Rigoberta Bandini,Rigoberta Bandini,2021-06-15,7b0Hoz7115EQavRSkdf9ua
a la meva vera,46,31 FAM,31 FAM,2023-10-18,4guAvlggqDxxjn0Y8RmEgI
xinu xanu,46,Stay Homas,Stay Homas,2023-11-08,6ouV7526AeqeXrALRn6ZDb
Rumba Catalana,46,Alfred García,Alfred García,2024-10-18,3bGAxzfcWxeHhnAWrDBSDo
ASÍ ES LA VIDA,46,31 FAM,"31 FAM, Odette Telleria",2025-04-25,3MokRMYePxEHh0yTWsZuMH
TETEO I CALIU,46,31 FAM,"31 FAM, Bexnil",2025-04-25,4XkJv3pKZ85IBoopLygQvX
Pantis curts,45,The Tyets,The Tyets,2005-02-05,6rRgNnfPdVPw0xZ53Dapbr
Txarango al Canet Rock,45,The Tyets,"The Tyets, La Fúmiga",2005-02-05,6bZ8H2j6MdrXYicMbfaUew
Deixa,45,Oques Grasses,Oques Grasses,2005-02-05,2ajg5EOwpG8wDjgUY5dpeV
Amiga de ningú,45,Oques Grasses,Oques Grasses,2005-02-05,7mILkJdHA3ksBGu5xvbc57
XTRATERRESTRES (na de na),45,Figa Flawas,Figa Flawas,2005-02-05,3DQrvBYizlD8ypZcSzbpjX
Sempre dempeus,45,Buhos,Buhos,2005-02-05,3LltYIVc0cxNZLjqqNEfc4
La nit està que crema,45,Buhos,Buhos,2005-02-05,4SdNsYl6CwRHvdDBHL8quh
Agafant L'Horitzó,45,Txarango,"Txarango, Gemma Humet, Aspencat, Cesk Freixas, Meritxell Gené, Montse Castellà, Ivette Nadal, Sílvia Comes, Bittah",2005-02-05,7McIJl4WBaSynRKQvHtrVO
Tintin,45,Els Catarres,Els Catarres,2005-02-05,1bzvpvkhOTzHeFPxAepFZt
La Petita Rambla del Poble Sec,45,Cesk Freixas,Cesk Freixas,2009-12-15,46u4kbTD8MRQPWwOlEo3gT
Bon Dia!,45,Dàmaris Gelabert,Dàmaris Gelabert,2010-11-01,6L3aepdwH2gUnAztpVf3c0
La cançó del soldadet,45,Manel,Manel,2011-03-15,68OkUpUP90lHzv2EPRbE3p
Calgary 88,45,Antònia Font,Antònia Font,2011-04-12,3JVnENbLG8glzbsHipzO2K
Truca'm,45,Joan Dausà,Joan Dausà,2012-02-14,4eoqEV6V0zXTfxvp5QEPBC
Quan caminàvem,45,Aspencat,Aspencat,2013-05-05,4DT0LPAOwvN8vKXsKHeRLn
Esbarzers,45,La Gossa Sorda,La Gossa Sorda,2014-07-11,7tiu52iT5YeFY7QhOCpmOs
Corbelles,45,Zoo,ZOO,2014-11-10,0Zs3kJlxEenw7Ffq2HWLY4
Ànima de Corall,45,Guillem Ramisa,"Guillem Ramisa, Oques Grasses",2016-05-31,5eQkUBDWLu9ObEgA4N5SBV
La Gran Eufòria,45,Joan Dausà,Joan Dausà,2018-04-13,65IHpYMXekTHuOMUv5QeqI
Les Teves Pigues,45,Doctor Prats,Doctor Prats,2018-05-04,26lEECCpxSARDo4aDLuJPc
Avant,45,Zoo,ZOO,2021-03-26,1gGGFbHhRKNP79wfJF4uvS
Mai Trobaràs 30 Anys,45,Sopa de Cabra,"Sopa De Cabra, The Tyets, Ginestà, Buhos",2022-06-10,3lJK1l2fqEBrxIfFcqZnCo
Per què he plorat?,45,Ven'nus,"Figa Flawas, Ven'nus",2023-12-03,2JIQlpLkIIwQ9dmCwjbRh4
Jo Soc Supporter,45,FC Barcelona,"FC Barcelona, Grup d'Aficionats del Barça",2024-02-12,1w6qIar4QCHUJ4grQyQJnR
Pura Vitamina,45,Miki Núñez,Miki Núñez,2024-11-29,4GGk0B3lt44InOr2FhKEmX
Hem vingut a jugar,45,Buhos,Buhos,2025-01-03,7zzxDDu1MPGdM4Uu3F9X98
Grup de Pop,45,Sexenni,"Sexenni, The Tyets",2025-02-28,2tEdvTyzP7FtXshvxl0W0z
4-3-3,45,Els Amics de les Arts,"Els Amics De Les Arts, The Tyets",2025-04-23,6WF0YIztuX1IPM7fPJr1pr
Bye Bye,44,Oques Grasses,Oques Grasses,2005-02-05,0GLT8MbuTWKOzthYbBQm2R
Bancals,44,Oques Grasses,Oques Grasses,2005-02-05,4J5GRJUbBkJgoNs0kSoMdn
Més Likes,44,Oques Grasses,"Oques Grasses, ZOO, Lildami",2005-02-05,6TRQEbxlYyEmEQdIkqitY6
Fer-te feliç,44,Oques Grasses,Oques Grasses,2005-02-05,20r1pb7hHS90EG6LzOjnA1
Coet,44,Oques Grasses,Oques Grasses,2005-02-05,3pwHFHN2VkvMfcZ49Fa2qS
Sexy,44,Oques Grasses,Oques Grasses,2005-02-05,5x6JZDOe3azL97DogB4pOF
Passos importants,44,Oques Grasses,Oques Grasses,2005-02-05,0MTIqN2DpuHujBcqAoC1pE
AURORA,44,Figa Flawas,Figa Flawas,2005-02-05,4PfWoAuDfdak0zy58aiGUl
El món de veritat,44,Buhos,"Buhos, Juan Magán, Victor Magan",2005-02-05,3mM2C5Ics0ToUamFhkqo10
REBOBINAR,44,La Fúmiga,La Fúmiga,2005-02-05,45r6wchHonMxHst9NwAnze
Que Tot Et Vagi Bé,44,Txarango,Txarango,2005-02-05,5FXdyQboJUYoxkopoHC8Kz
Tant de Bo,44,Txarango,Txarango,2005-02-05,53PuMXL51RpasF6XQ0wXXM
Crema La Nit,44,Txarango,"Alfred García, Txarango",2005-02-05,0uPnSgMNu6wOqwYQTrNHK9
PARACAIGUDISTES,44,Els Catarres,Els Catarres,2005-02-05,6YawQO4NFAuP3mik86Wkwd
LA PILI,44,31 FAM,31 FAM,2005-02-05,1NADFksTRab3GJ4dspelCT
Camals Mullats,44,La Gossa Sorda,La Gossa Sorda,2008-04-07,67UBfh8VMGQTCRGGFCMnik
Criticarem les noves modes de pentinats,44,Manel,Manel,2011-03-15,7nSJ0oOe2MzyhCIfm3wJW3
Tornarem,44,Lax'n'Busto,Lax'n'Busto,2014-04-22,7h8n02SDd8JG6AFWr3Dut4
Puja al Meu Coet,44,El Pot Petit,El Pot Petit,2015-01-01,5uovOOO01w2y8MFyjT0bay
Ara!,44,Doctor Prats,Doctor Prats,2016-04-05,09wWPBTgab1stsBjtqoEga
No vull que t'agradi aquesta cançó,44,Els Pets,Els Pets,2018-10-19,2KuzLo3h5MKhZQEjt2VbWG
No Vull Baixar,44,Stay Homas,"Stay Homas, Albert Pla",2021-07-02,4krs8tm0OBqGWpQDaIQpeL
Pa amb Oli I Sal,44,Blaumut,"ZETAK, Suu, Blaumut",2023-05-18,1Smvo4IBAF65dP1vnBtCUc
Thelma & Louise,44,Julieta,"Belén Aguilera, Julieta",2024-03-07,7m8aetuFspDvP5GXhVJBQx
Octubre del 24,44,Joan Dausà,"Joan Dausà, Paula Koops",2024-08-30,4pgYup9TbBReWEkK3qZZxb
Cervell vs Cor,44,Pau Vallvé,Pau Vallvé,2024-10-25,5Tj4A5ptkLZmd8o4xr45y0
la teva companyia,44,Ven'nus,"31 FAM, el kid, Ven'nus",2024-12-13,0PfU59bIYdHLzB8QMrU9Jo
Les mosques,44,Ginestà,Ginestà,2025-03-04,5UC43c7RBHqupP0kLXHwqU
CARINYO,44,Svetlana,Svetlana,2025-03-28,1M74PcvyhOG4BPRDlRCdTI
Tren De Mitjanit,43,Sau,Sau,1991-01-25,7o5pOePCS8wlnoxGPA6VHa
Bona Nit,43,Els Pets,Els Pets,1997-01-01,4G9uB4lMcQRvDgtkWBsbPd
RRHH (Tinc una casa),43,The Tyets,"The Tyets, Dj Hochi",2005-02-05,1CUKmGTrJxjk4a0cYAxMXh
Plora i riu,43,Oques Grasses,Oques Grasses,2005-02-05,0kreP3Wa04atVW5jnvr9dW
Camins - Remix,43,Oques Grasses,"ZOO, Oques Grasses",2005-02-05,4wtsrMrKZEsAcB7D5ffDNt
habibi,43,Mushkaa,"Mushkaa, Bexnil",2005-02-05,7He9WMZyNY5X2oquPshBgQ
El Mambo,43,Mushkaa,"Mushkaa, Roots",2005-02-05,5GjKmTQY3ANW1QzvMU0W1l
Sembla Mentida,43,Mushkaa,"Mushkaa, roots",2005-02-05,2VaX7eyMo7UxIQgCPVfZoc
Vull estar amb tu,43,Stay Homas,"Els Catarres, Stay Homas, ZOO",2005-02-05,6jx5dDUZJoTC8Of2TcAphY
Balada 17,43,31 FAM,31 FAM,2005-02-05,6vJ2wQQCBNrV0URvERMSnd
Wa Yeah!,43,Antònia Font,Antònia Font,2006-01-01,0BPIknt0SyI873a6N5QDBI
En la que el Bernat se't troba,43,Manel,Manel,2008-11-11,6H86gna5KDoPurwLxb6pIV
Gat Rumberu,43,La Pegatina,La Pegatina,2009-07-10,5Lf6RG1wOomzOZLYZuB3XK
4-3-3,43,Els Amics de les Arts,Els Amics De Les Arts,2009-09-01,24z8tMGMpwbVG4USfjBFGL
El Drac,43,El Pot Petit,El Pot Petit,2015-01-01,2yY2sJ2zDlabFONyiP9y47
La Gallina Tica,43,El Pot Petit,El Pot Petit,2015-01-01,2MSnqpAE3qF6JEf9krm01g
Converses de balcons,43,Auxili,"Auxili, Oques Grasses",2018-03-16,2V9uAj8mBHj0fxP7anXAay
Ho Tenim Tot,43,Joan Dausà,Joan Dausà,2021-11-05,4pjRSriRfuDVS4HwJDlVRV
Que pasa nen,43,Alizzz,Alizzz,2022-09-09,4L5exQWqXpzBy7Bhy2nrEk
Barras Warras,43,Calagher,"Mushkaa, Calagher, roots",2023-04-14,4qFwyhTqOvuf26fBBTaHcv
LA NÒRIA,43,Stay Homas,Stay Homas,2023-05-05,0NS9weBZ7iCvdc4cdmpA66
El meu amor se n’ha anat de vacances,43,La Ludwig Band,La Ludwig Band,2023-10-20,4QnuZMMWB7g2l5DWA9VHIS
Felixità,43,Svetlana,Svetlana,2024-03-22,3g4JAqwrvcdzdEckkjLIJT
Xarnega,43,roots,"Mushkaa, roots, Bexnil",2024-03-27,4ABmdW0G3oDlanLL5rTbjq
NENA CATALANA,43,Will.X.O,"Ceaxe, Will.X.O, VWAE",2024-06-07,5YReQQ7NBlZK7g1LfOwLAJ
"Aura, la Dinosaure",43,El Pot Petit,El Pot Petit,2024-10-22,5blYpxK46Ni1aGJcssrnpu
Mamipuladora,43,Mushkaa,"Mushkaa, Bexnil, roots, akaluigi",2025-02-28,3El9Ko6oxp4ahDpvsC8vaE
M'oblido d'oblidar-te,43,Julieta,Julieta,2025-05-09,7AXFrgcthsVQeKJl5sW5BI
NO EXISTIRAN,43,Ven'nus,"Ven'nus, Mushkaa",2025-05-30,1L89KwPvplpNr6GS2TmFd1
Jo vull ser rei,42,Els Pets,Els Pets,1994-11-11,1Ey9xIaUkP1dvZ5fNmcslD
La Meva Terra és el Mar,42,Lax'n'Busto,Lax'n'Busto,1998-01-01,2V58oh5emQj22lfn8xaP9I
Els Teus Somnis,42,Sopa de Cabra,Sopa De Cabra,2001-11-15,2Dzz2Gs68F32tsFAO4B28J
En s'estiu,42,Antònia Font,Antònia Font,2002-01-01,5dpoGuFGb01syYB4ZXcgk8
Pau,42,Els Pets,Els Pets,2004-01-01,0DiYxE4c66yPMHgEpD1qt6
Hamaking,42,The Tyets,The Tyets,2005-02-05,03BLjM3W0tHayrIqWih42R
CAP AMUNT,42,Oques Grasses,Oques Grasses,2005-02-05,6XxjjrWJGbi6gCwfYXvBuf
CODA,42,Oques Grasses,Oques Grasses,2005-02-05,0yFAFFV5haHZFjKmQfSM7v
John Brown,42,Oques Grasses,Oques Grasses,2005-02-05,6iLs6OX9Jopp33kwfAi7di
Llum fluorescent,42,Oques Grasses,Oques Grasses,2005-02-05,10tccF6wqm6jyYDl4Hw4S5
Millors moments de la vida,42,Buhos,Buhos,2005-02-05,1QVIOPnYnnIHJyEQhL4vvM
Primera Conjugació,42,La Fúmiga,"La Fúmiga, Suu",2005-02-05,6cgqdji2lyjNohaRQogaDl
A la Deriva,42,Txarango,Txarango,2005-02-05,7ufhRuLkC2hbXcUGEX9Djd
A PRENDRE PEL CUL,42,Els Catarres,Els Catarres,2005-02-05,70FqiJ2Mj8ELT9sOeVGn8o
CUANDO ME MIRAS,42,31 FAM,31 FAM,2005-02-05,6QBXneaIoJLzzXLInQn0M6
LA GAVINA (MAMBO REMIX) [feat. Magalí Sare],42,31 FAM,"31 FAM, Magalí Sare",2005-02-05,1YtiTNLfaPeYMp2JPUNGmm
BON ANYYYY,42,31 FAM,31 FAM,2005-02-05,0T4MeNAxZfoAfdubFsQbWP
"Quin dia feia, amics...",42,Manel,Manel,2005-02-05,3oVbmjT5sAwbyPDbynqA7A
El miquel i l'Olga tornen,42,Manel,Manel,2005-02-05,2IeIckLDdKO7lVlIrOuXhf
L'estaca,42,Lluís Llach,Lluis Llach,2007-01-01,6V6p3kX685TlL51aeSgzpa
Pla quinquennal,42,Manel,Manel,2008-11-11,5KcXtRKkl6pzEyw8GBkdHd
Els Dies de la Setmana,42,Dàmaris Gelabert,Dàmaris Gelabert,2010-11-01,2bq5Q3Kv6jgV28Jgo7eAWS
L'Últim Segon,42,Aspencat,Aspencat,2011-02-19,7v0eRPCy2Q0NFQl6PKnIJw
Vint-i-un Botons,42,Blaumut,Blaumut,2017-03-24,6cwhqj57zgBryYbW9Jtl97
Qui més estima,42,Mishima,Mishima,2017-05-05,1wdxBQn8jZ5aO5VWQ9Kcyd
Hui la liem,42,Auxili,Auxili,2018-03-16,0cpToG2pZPh9TK3snKAVHO
Tir al Ninot,42,JazzWoman,"ZOO, JazzWoman",2021-03-26,7dVuKIJilf1yei6u8ByXmX
Seguirem Ballant,42,Doctor Prats,"Doctor Prats, Stay Homas",2022-04-29,0pJeLEo1VhKasaEfNZiLG6
PETONS,42,Stay Homas,Stay Homas,2023-05-05,4rn3il95GKNJ1HCOz9ZN4K
I Si Tots Animem Guanyarem,42,FC Barcelona,"FC Barcelona, Grup d'Aficionats del Barça",2024-02-12,0UimXwwNWSnGE0LbKXDY7f
1899 Neix el Club Que Porto al Cor,42,FC Barcelona,"FC Barcelona, Grup d'Aficionats del Barça",2024-02-12,4Y1u7JyE80w2J9N7EidHst
10 DIES,42,Svetlana,"Svetlana, Ketekalles, Habla de Mí en Presente",2024-03-22,5m8jkRkcjlIBeApspjZXBt
Serem més forts,42,Miki Núñez,Miki Núñez,2024-10-25,33hasXzBCCcUDHNT7DqlE6
COR PETIT,42,Scotty DK,"Pol Bordas, Figa Flawas, Scotty DK",2024-11-15,5RL9FSIyOUdWpnL3MuZl4X
Serem més forts (campanades),42,Miki Núñez,"Miki Núñez, Laura Escanes",2025-01-01,23urj640shQ9Dzahw6CcbD
Això és l'estiu,42,Flashy Ice Cream,"Flashy Ice Cream, The Tyets",2025-01-17,1zA7zQMe5g0wnqs6Easx7o
LOTUS,42,roots,"Mushkaa, Bexnil, akaluigi, roots",2025-02-28,7sIyxFx40kc1Gi0d8EhE3l
No Hi Haurà Manera,42,roots,"Mushkaa, Maria Jaume, Bexnil, roots, akaluigi",2025-02-28,5mgf0WgewWIbptfkivZyfV
Aborigen,42,Auxili,"Auxili, pxllt",2025-04-03,5PJaJ0VYk24iy8wQXEKlNF
Enlloc com a casa,42,Sexenni,Sexenni,2025-06-06,1JuavXLTICoDwbw6mBqfCF
Senzilla,41,Oques Grasses,"Oques Grasses, La iaia",2005-02-05,2bAshmQY39OzRrgVFGYKKB
Els contes,41,Julieta,Julieta,2005-02-05,5w1SGUUC457IcNl4O2G496
Amics per sempre,41,Julieta,Julieta,2005-02-05,09V7ApOxWNICvGMEVRuh7G
LOKURA,41,Julieta,Julieta,2005-02-05,2ceTylNropN8MsY6BqE5R7
PRINCIPIS,41,La Fúmiga,La Fúmiga,2005-02-05,6RWffhYkegX9qrKKJ5q7XM
RÈCORD MUNDIAL,41,La Fúmiga,La Fúmiga,2005-02-05,45PRSTOnYzdo8Zgk0ldtUx
Monstres i Gegants,41,La Fúmiga,La Fúmiga,2005-02-05,7pRrSKKn2ih8BRduwhEj1a
El Tren del Temps,41,Txarango,Txarango,2005-02-05,1JgjM6NzqIv7HWc4tXKB29
Som Foc,41,Txarango,"Txarango, The Cat Empire",2005-02-05,6CI59IsPIkuExQqOEHwsrM
Esperança,41,Txarango,Txarango,2005-02-05,09iUViv6k6Pky2LBtURSch
Estels al Vent,41,Els Catarres,Els Catarres,2005-02-05,4jHh7UBfEsfE2Gbj4oydXb
Correfoc,41,Zoo,ZOO,2005-02-05,4F1nbKqW3mUlP9eqnUJPPo
Parece mentira,41,Zoo,"La Raíz, ZOO",2005-02-05,0fZY0qC77MrsFWyq2kdml6
nana de les persones tristes,41,31 FAM,"31 FAM, el kid",2005-02-05,55qJIz4ei4TSUdZWbbUHfK
Els guapos són els raros,41,Manel,Manel,2005-02-05,2hmbvr9HAmq9KOirdMDp6j
Quina Calitja,41,La Gossa Sorda,La Gossa Sorda,2008-04-07,4AoTyNZ5Y8v0D9WyzxzESJ
Fil de Llum,41,Andreu Rifé,Andreu Rifé,2012-06-18,0dGhSrwTAdfdVG1pDGiLJR
Reis del Món,41,Joan Dausà,Joan Dausà,2013-08-07,1auy7HS1dmZycznaKQCQoU
Nit salvatge,41,Smoking Souls,"Smoking Souls, Boikot, Els Catarres, Los Chikos del Maiz",2015-12-14,3TwSlfvFPPoz0K1yL1Ujxn
Te Vendré a Cercar,41,Xanguito,"Xanguito, Pau Debon",2017-09-08,5qJYu8e4mqAdXTl5xsHh9V
Bala Perdida,41,Adala,"Adala, Santa Salut",2019-06-26,2dIKvPeANNb6px3QVDIR5g
Contents,41,Ambauka,"Ambauka, El Pot Petit",2019-11-29,3NS8utzEbZk5e8nz4BNVUs
Gotta Be Patient,41,Judit Neddermann,"Stay Homas, Judit Neddermann",2020-06-30,7CVScZ51zJIJAxExWTgs62
Èpoques glorioses,41,Pau Vallvé,Pau Vallvé,2020-09-18,4Cls2cLCOb3cEcGo0eGCoa
Barcelona Tropical,41,Suu,"Suu, Carlos Sadness",2021-05-14,2dkyT9XfhAO8qcHriAOEA5
Em Flipa,41,Pelat i Pelut,"Pelat i Pelut, Figa Flawas",2022-04-05,4qBVh6I4nCZu2vBfnO94zD
Una Sola Paraula,41,Ven'nus,"Figa Flawas, Ven'nus",2022-05-13,1hVGkAQd0px8njB95RsWwI
Jo Mai Mai,41,Joan Dausà,Joan Dausà,2023-04-28,0vyy49HU4wnFJJPOVLNLyO
"Oh, Força Barça Ale",41,FC Barcelona,"FC Barcelona, Grup d'Aficionats del Barça",2024-02-12,0LX0UDDxvMRbuVc49uGGFQ
Señal de Respeto,41,roots,"Mushkaa, Greta, roots",2024-03-27,556iuX1C4CMLq29To3qHAp
L'Estrella del Pop,41,El Pot Petit,El Pot Petit,2024-10-22,3pK9qV779bU0lvcV64U5Lr
Una altra vegada,41,Suu,Suu,2025-02-14,6GnoUEGyzoAymJ1C6ztDOF
ZiG ZaG (intro),41,roots,"Mushkaa, Bexnil, roots, akaluigi",2025-02-28,7G9jSvGlXVE6304a89jLBg
"Mòbil, claus i cartera",41,Sexenni,Sexenni,2025-02-28,6IAHliI122x980aplpGvie
Aeròbic,41,Doctor Prats,Doctor Prats,2025-03-28,0I86wsZfH31DzWbUFIv94Z
Efecte papallona,41,Doctor Prats,"Doctor Prats, Miki Núñez",2025-03-28,0yqhloQRNwxmfAq3WJ9HOz
Valencianotalibans,41,Auxili,Auxili,2025-04-03,0Efzq32tVhBDCQq6lhPbch
CASA NOSTRA,41,Maig,"31 FAM, Maig",2025-04-25,00IgTImCCiQO0PxYF5a4bn
Més Que la Meva Sang,40,Lax'n'Busto,Lax'n'Busto,1993-01-01,4ZKM5pGuElWso0kYdn7YXY
Let Me Alive,40,The Tyets,The Tyets,2005-02-05,1C0Hsm8BYhkroSD0w5mxdv
Escopinya,40,Oques Grasses,Oques Grasses,2005-02-05,7apIPSn5fCcb8QbH5fv3dd
Rellotge de fang,40,Oques Grasses,Oques Grasses,2005-02-05,0kORwmH5WjlcjEqtn8JPiE
LA SALSA,40,Figa Flawas,Figa Flawas,2005-02-05,7Ds7B142naHX5lkpwRfYKe
LA MARINA STA MORENA - Remix,40,Figa Flawas,"Mon DJ, Figa Flawas, Sold3k",2005-02-05,4Rp5525t6d5qPVXUNjY9vJ
NOVA BOSSA,40,Mushkaa,"Mushkaa, Bexnil, roots, akaluigi",2005-02-05,5J8Sj6A5PTojAW3wFA4uq5
MUSHKINHA LET'S PLAY SAMBA,40,Mushkaa,"Mushkaa, Bexnil, roots, akaluigi",2005-02-05,2vHKFdaQFSc5sl5f9TQQGf
Entre el Fum,40,Mushkaa,"Mushkaa, roots",2005-02-05,72yu5AOso77GTX97O491kE
La Maxima,40,Mushkaa,"NEGRO DUB, Mushkaa, L-Gante",2005-02-05,3CHCt3JXdwiEC54mjfiJcC
LOEWE,40,Mushkaa,"Mushkaa, Raul Clyde, roots",2005-02-05,01ZvvafMDxlqMYbX0j14Wh
Sweet Caroline,40,Buhos,Buhos,2005-02-05,1un7C7lOFZ1s5PzeAfw3sX
Bruna,40,Julieta,Julieta,2005-02-05,6SfzL4x3YOmJ08OteRk4JF
Jean Blau,40,Julieta,Julieta,2005-02-05,1P21dQqCpaF9LKXxTuG7Jn
Let it Out,40,Stay Homas,Stay Homas,2005-02-05,3AbOIsgNfIZzJ3yoOKa2nt
Impresentables,40,Zoo,ZOO,2005-02-05,1oumohrgUQCuklap89QlLQ
