Nom,Popularitat,Artista,Artistes,Data,uri
Si em tornes a mirar,39,Núria López,"Buhos, Núria López",2023-03-31,4u9SKtlpH2pzSvD7F0vAtg
Els ocells,39,Maria Hein,"Ginestà, MARIA HEIN",2024-02-09,3aL3DPH3UHsekni3VeKHdL
Diuen x ahí,39,Cactus,"Cactus, NAINA",2024-03-22,1SGgt8nKP2LcF6JAMI7X28
Les Tres Pirates,39,El Pot Petit,El Pot Petit,2024-10-22,3N7LodjMlFOHG4xV7VPwyq
Empastre,39,Auxili,"Auxili, Malifeta, pxllt",2025-04-03,3H7PjfVXeeLWQVG6j4QKVF
Vespre,38,Els Pets,Els Pets,1989-01-01,4P9fsKZpfOWmYG4GMbkbYh
Si Vens (Remasteritzat 2013),38,Ja t'ho diré,Ja T'ho Dire,1995-11-15,4hIw9KnzBSLA5AtHEdGY00
Si Et Va Bé,38,Sopa de Cabra,Sopa De Cabra,2001-11-15,6DDmuANyPKgv736tcrTv1i
El Boig de la Ciutat (En Directe),38,Sopa de Cabra,Sopa De Cabra,2002-11-15,0KRHcqnTK5y4qorLNy852u
Tornem a casa,38,The Tyets,The Tyets,2005-02-05,7bc9WLunD2VxC2FxC3bKVB
La Dels Manolos,38,The Tyets,"The Tyets, Los Manolos",2005-02-05,5DGtrF9Wlqtu1NpXtEoTA1
Petxina lliure,38,Oques Grasses,Oques Grasses,2005-02-05,1INPy7fhElrs4Z1TXMBjPZ
Bananeres (feat. Oques Grasses),38,Oques Grasses,"La Pegatina, Oques Grasses",2005-02-05,6zmZLbgtbJP2GC96EI3wtz
DESBOCAT,38,Figa Flawas,Figa Flawas,2005-02-05,6fmbzCxHNEHs96EcHnMBBT
BACANERIA,38,Figa Flawas,Figa Flawas,2005-02-05,41M1ZjFFAkdvEPWOmi5Nix
M'EQUIVOCAVA,38,Figa Flawas,Figa Flawas,2005-02-05,6A6DNlY4WnyCl6SAjKdDro
EL VERMUTILLU,38,Figa Flawas,Figa Flawas,2005-02-05,3IAZZBbTDEBjbmhsLfoinV
Ho Fem Fàcil,38,Figa Flawas,Figa Flawas,2005-02-05,7ljOfhn0kajYXTO9aQnYOU
SPAVILA (feat. Mushkaa),38,Mushkaa,"31 FAM, Mushkaa",2005-02-05,5NvOg9y1M6DCcRQQkoppiE
La Gran Vida,38,Buhos,Buhos,2005-02-05,0DRYn3wMEho2VeLcJGbXQH
HO TORNARIA A FER,38,Stay Homas,Stay Homas,2005-02-05,4WkZ6nkJjQNoZJDqIIhoYB
Les Merdes,38,Stay Homas,Stay Homas,2005-02-05,2GDWy8sF5f8V9ryQlCoJA7
Cap. 1: Fanàtics de la Serendipitat,38,La Fúmiga,"La Fúmiga, Smoking Souls",2005-02-05,4amSyQhGGyibkS02rrJNFj
El Meu Poble,38,Txarango,Txarango,2005-02-05,1Lma66u6qSHrgivTlkR4YH
Vola,38,Txarango,Txarango,2005-02-05,4FgFEcj8ycbO5mLHkXI0Jv
ETS PART DE MI,38,Els Catarres,Els Catarres,2005-02-05,5B5saHgykO1DCxDm9cc5kD
RAIG DE SOL,38,Els Catarres,Els Catarres,2005-02-05,1wfUrgcET84Js6tiCHCLsf
Tokyo,38,Els Catarres,"Els Catarres, Joan Dausà",2005-02-05,6URHIde0nX45s6p3k1TvOC
La del Futbol,38,Zoo,ZOO,2005-02-05,5Dcp4gDfWUPyFsXFolQn80
La Mestra,38,Zoo,ZOO,2005-02-05,66nDwQOlQVSEeeXvNjn227
Imperfeccions,38,Zoo,"ZOO, Los Chikos del Maiz, At Versaris",2005-02-05,5KsQcLnn6C3u7KfgY1BawQ
Les paraules que triem no dir,38,Els Amics de les Arts,Els Amics De Les Arts,2005-02-05,3PQ5yI4uv0dGxkATM1WXE1
L'Home Que Treballa Fent De Gos,38,Els Amics de les Arts,Els Amics De Les Arts,2005-02-05,36yV4rgw4Gl4VCFBRCd0iM
AMOR Y ODIO,38,31 FAM,31 FAM,2005-02-05,5mF3VIBowNDwJ3aHHbTjjr
QUÈ FAREM AMB TU,38,31 FAM,31 FAM,2005-02-05,6Cl9r4Ku8646o0HFbTsjDY
Ulls d'avellana,38,Ginestà,Ginestà,2005-02-05,6IpRRIBXP3fYj2JcmSjqQK
Ara és estiu cada desembre,38,Ginestà,Ginestà,2005-02-05,3RMUObLiWZURBCg2hDE8sz
Mort d'un heroi romàntic,38,Manel,Manel,2005-02-05,0oyM985oXvR3Eqf4lHrQiD
El gran salt,38,Manel,Manel,2005-02-05,0SizsUtnsnw01xFRRIqjLj
Roma,38,Manel,Manel,2005-02-05,1TI9AHfzImK6B1ZYZc8Nr5
La jungla,38,Manel,Manel,2005-02-05,1JDfbF2DWzbNkyE1ZCInwx
Massa Bé,38,Doctor Prats,Doctor Prats,2005-02-05,4AuJuU08RiSniCdtBPWBZz
Parlant de Tu i de Mi,38,Joan Dausà,Joan Dausà,2005-02-05,0RUuFUfQePZNwbjmTp6eaZ
Crema-ho tot,38,Joan Dausà,Joan Dausà,2005-02-05,4Ju9aN892DQAPmARmIiUPz
El Jardí,38,El Pot Petit,"El Pot Petit, Anna Roig",2005-02-05,44rQQ1BEdluXY0OqCJMwKd
Batiscafo Katiuscas,38,Antònia Font,Antònia Font,2006-01-01,0p22isB9cvNajvi63OtYf8
La flama,38,Obrint Pas,Obrint Pas,2006-06-22,4jJGiNGzoUV4uacldNW5Qb
El Noi de la Mare,38,Dàmaris Gelabert,Dàmaris Gelabert,2010-11-01,33MnXgIwpfG8XzfCHlKgDl
Protagonistes,38,Pau Vallvé,Pau Vallvé,2010-11-15,6Rb5GvTGNspDFOhRq27i1v
Amic dels Cirerers,38,Pau Vallvé,Pau Vallvé,2010-11-15,1mIBwsvrMuvHv7Ruxe5e9Z
Hui,38,Atupa,"Atupa, La Raíz",2014-06-24,4yxxnWxbskTRs0ZF9hctRu
Menteix la primavera,38,Mishima,Mishima,2017-05-05,1IA0vlikPuSOgPTNsAW7f0
